ED_ID,Electoral Division Name (English),GAEILGE,CONTAE,COUNTY,PROVINCE,GUID,CENTROID_X,CENTROID_Y,AREA,ESRI_OID,Shape__Area,Shape__Length
267132,SWORDS-FORREST,Sord-An Fhoraois,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1ca8-13a3-e055-000000000001,716372.48,745553.04,6682385.85,1622,6682385.854,12295.43836
268061,DRUMFINN,Droim Fionn,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d68-13a3-e055-000000000001,709224.96,734305.46,823152.9,1623,823152.9028,4743.374348
267044,CHURCHTOWN-NUTGROVE,Baile an Teampaill-An Garrán Cnó,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cf9-13a3-e055-000000000001,715587.22,728023.85,767831.75,1628,767831.7469,4963.882126
267012,BALLINTEER-MEADOWMOUNT,Baile an tSaoir-Droim Cluana,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1e29-13a3-e055-000000000001,716078.43,727493.33,390306.32,1632,390306.3195,2904.786548
268094,KIMMAGE E,Camaigh E,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d9d-13a3-e055-000000000001,712805.42,730917.74,657431.4,1633,657431.3988,3595.576226
268039,CARNA,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d31-13a3-e055-000000000001,708993.65,733498.4,572398.62,1647,572398.6249,3468.248512
267111,PORTMARNOCK SOUTH,Port Mearnóg Theas,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1dfe-13a3-e055-000000000001,724054.27,742421.49,5392158.39,1650,5392158.391,18156.7591
268013,BALLYGALL B,Baile Gall B,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d09-13a3-e055-000000000001,714091.01,738755.01,555596.59,1664,555596.587,3400.871339
267046,CHURCHTOWN-WOODLAWN,Baile an Teampaill-Plásóg na Coille,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cfb-13a3-e055-000000000001,716640.78,728906.12,415166.05,1681,415166.0494,2789.045512
268059,DRUMCONDRA SOUTH B,Droim Conrach Theas B,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d66-13a3-e055-000000000001,716467.37,736388.76,342943.82,1708,342943.8245,2903.90559
267141,TALLAGHT-KILLINARDAN,Tamhlacht-Cill an Ardáin,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cb8-13a3-e055-000000000001,707558.48,726501.75,743419.18,1711,743419.1783,3550.612128
267068,DUN LAOGHAIRE-GLASTHULE,Dún Laoghaire-Glas Tuathail,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d3b-13a3-e055-000000000001,724758.27,727634.38,738521.55,1721,738521.546,4094.827205
268093,KIMMAGE D,Camaigh D,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d9c-13a3-e055-000000000001,713469.88,731108.53,421640.45,1743,421640.4453,2643.650136
267038,CABINTEELY-LOUGHLINSTOWN,Cábán tSíle-Baile Uí Lachnáin,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1ce3-13a3-e055-000000000001,722615.48,723491.84,6317933.38,1747,6317933.378,13499.47312
