FID,District_N,District_C,Division,Area_Sq_km,Area_Sq_Mi,Revised_YN,Revised_Da,Pop_by_Dis,Housholds_,Comments,FID_1,STATION_NA,DIVISION_H,ADDRESS,,COUNTY,STATION_IN,IG_EAST,IG_NORTH,ITM_EAST,ITM_NORTH,LONGITUDE,LATITUDE,FULL_TIME_,AREA_CODE,PHONE_NUMB,STATION_TY,Shape_Leng,Shape__Area,Shape__Length,COUNTRY
69,Ardee,2271C,Cavan/Monaghan & Louth,323.654,124.964,YES,2019/11/28 00:00:00+00,23164,7791,40,421,ARDEE,DROGHEDA,"Jervis Street, Co. Louth",,LOUTH,https://www.garda.ie/en/Contact-Us/Station-Directory/Ardee.html,296047,290467,695978,790481,-6.541139,53.854914,1,41,6853222,District HQ,149841.5233,325002583.6,149841.5233,IRELAND
70,Carrickmacross,6770K,Cavan/Monaghan & Louth,644.985,249.03,YES,2019/11/28 00:00:00+00,30498,10821, ,480,CARRICKMACROSS,DROGHEDA,"42 Main Street, Carrickmacross, Co. Cavan",,MONAGHAN,https://www.garda.ie/en/Contact-Us/Station-Directory/Carrickmacross.html,284115,303725,684048,803736,-6.718776,53.976059,1,42,9690190,District HQ,190209.2608,647639922.1,190209.2608,IRELAND
71,Monaghan,6700H,Cavan/Monaghan & Louth,643.866,248.598,YES,2019/11/28 00:00:00+00,30888,10868, ,484,MONAGHAN,DROGHEDA,"Plantation Road, Monaghan Town, Co. Monaghan",,MONAGHAN,https://www.garda.ie/en/Contact-Us/Station-Directory/Monaghan.html,267347,334101,667284,834106,-6.967516,54.25137,1,47,77200,Division HQ,224196.2663,646508968.5,224196.2663,IRELAND
72,Cavan,6800D,Cavan/Monaghan & Louth,1207.981,466.404,YES,2019/11/28 00:00:00+00,42024,15102, ,82,CAVAN,DROGHEDA,"Franham Street, Cavan, Co. Cavan",,CAVAN,https://www.garda.ie/en/Contact-Us/Station-Directory/Cavan.html,241968,305076,641910,805087,-7.360879,53.99333,1,49,4368800,District HQ,337515.4341,1212800460,337515.4341,IRELAND
73,Leitrim,6300B,Donegal/Sligo & Leitrim,1580.353,610.178,YES,2019/11/28 00:00:00+00,32551,12699, ,379,CARRICK ON SHANNON,LETTERKENNY,"Shannon Lodge, Carrick-On-Shannon",,LEITRIM,https://www.garda.ie/en/Contact-Us/Station-Directory/Carrick-on-Shannon.html,194129,299437,594081,799450,-8.09015,53.944337,1,71,9650510,District HQ,325970.3135,1586650344,325970.3135,IRELAND
74,Sligo,6200F,Donegal/Sligo & Leitrim,737.505,284.752,YES,2019/11/28 00:00:00+00,43088,16324, ,524,SLIGO,LETTERKENNY,"Pearse Rd, Sligo",,SLIGO,https://www.garda.ie/en/Contact-Us/Station-Directory/Sligo.html,169344,335702,569302,835707,-8.471265,54.269256,1,71,9157000,District HQ,298903.5307,740489730.1,298903.5307,IRELAND
75,Ballymote,6270G,Donegal/Sligo & Leitrim,1155.683,446.212,YES,2019/11/28 00:00:00+00,22256,8523, ,515,BALLYMOTE,LETTERKENNY,"Lord Edward St, Ballymote, Co. Sligo",,SLIGO,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballymote.html,166332,315483,566291,815492,-8.515224,54.087429,1,71,9189500,District HQ,317069.677,1160366624,317069.677,IRELAND
76,Castlerea,5770C,Mayo & Roscommon/Longford,1604.545,619.518,YES,2019/11/28 00:00:00+00,33038,12766, ,505,CASTLEREA,CASTLEBAR,"Barrack Street, Castlerea, Co. Roscommon",,ROSCOMMON,https://www.garda.ie/en/Contact-Us/Station-Directory/Castlerea.html,168128,279762,568086,779779,-8.484061,53.766632,1,94,9621630,District HQ,333238.6574,1610856974,333238.6574,IRELAND
77,Claremorris,6070D,Mayo & Roscommon/Longford,1410.816,544.719,YES,2019/11/28 00:00:00+00,41383,15529, ,446,CLAREMORRIS,CASTLEBAR,"Mount St, Claremorris",,MAYO,https://www.garda.ie/en/Contact-Us/Station-Directory/Claremorris.html,134020,275183,533985,775201,-9.000249,53.722297,1,94,9372080,District HQ,327797.0347,1416465309,327797.0347,IRELAND
78,Ballina,5970F,Mayo & Roscommon/Longford,1049.112,405.064,YES,2019/11/28 00:00:00+00,29384,11129, ,436,BALLINA,CASTLEBAR,"Walsh St, Ballina",,MAYO,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballina.html,124157,318813,524124,818822,-9.160445,54.112854,1,96,20560,District HQ,230827.6043,1053466457,230827.6043,IRELAND
79,Castlebar,5900E,Mayo & Roscommon/Longford,879.492,339.574,YES,2019/11/28 00:00:00+00,29171,10839, ,444,CASTLEBAR,CASTLEBAR,"The Mall, Castlebar, Co. Mayo",,MAYO,https://www.garda.ie/en/Contact-Us/Station-Directory/Castlebar.html,114657,290095,514626,790111,-9.297628,53.853436,1,94,9038200,Division HQ,221713.8677,883088404.9,221713.8677,IRELAND
80,Westport,6170M,Mayo & Roscommon/Longford,1671.216,645.26,YES,2019/11/28 00:00:00+00,22414,8273, ,462,WESTPORT,CASTLEBAR,"The Fairgreen, Westport",,MAYO,https://www.garda.ie/en/Contact-Us/Station-Directory/Westport.html,99932,284334,499904,784351,-9.519437,53.79907,1,98,50230,District HQ,287331.029,1678312117,287331.029,IRELAND
81,Belmullet,6000C,Mayo & Roscommon/Longford,1269.907,490.314,YES,2019/11/28 00:00:00+00,12302,3299, ,442,BELMULLET,CASTLEBAR,"Fr. Mulhern Crescent, Belmullet",,MAYO,https://www.garda.ie/en/contact-us/station-directory/beal-an-mhuirthead-belmullet-.html,70539,332132,470518,832138,-9.985584,54.221746,0,97,81910,District HQ,421643.4174,1275399606,421643.4174,IRELAND
82,Clifden,5250G,Galway,1456.396,562.318,YES,2019/11/28 00:00:00+00,10570,3911, ,268,CLIFDEN,MURROUGH,"Clifden, Co. Galway",,GALWAY,https://www.garda.ie/en/Contact-Us/Station-Directory/Clifden.html,66684,250540,466663,750565,-10.009242,53.488185,1,95,22500,District HQ,318248.7808,1462529649,318248.7808,IRELAND
83,Salthill,5357M,Galway,1460.955,564.078,YES,2019/11/28 00:00:00+00,53357,19275, ,301,SALTHILL,MURROUGH,"Dalysfort Road, Salthill, Galway",,GALWAY,https://www.garda.ie/en/Contact-Us/Station-Directory/Salthill.html,127993,223674,527959,723703,-9.079714,53.258788,1,91,514720,District HQ,220017.2663,1466853559,220017.2663,IRELAND
84,Galway,5240L,Galway,668.866,258.251,YES,2019/11/28 00:00:00+00,92149,32486, ,274,GALWAY,MURROUGH,"Millstreet, Galway, Co. Galway",,GALWAY,https://www.garda.ie/en/contact-us/station-directory/gaillimh-galway-.html,129497,225056,529463,725085,-9.057489,53.271404,1,91,538000,District HQ,211611.7605,671463333.9,211611.7605,IRELAND
85,Kilrush,5070K,Clare & Tipperary,1932.235,746.04,YES,2019/11/28 00:00:00+00,35290,13310, ,101,KILRUSH,ENNIS,"Kilrush, Co. Clare",,CLARE,https://www.garda.ie/en/Contact-Us/Station-Directory/Kilrush.html,99791,155414,499763,655458,-9.481077,52.641064,1,65,9080550,District HQ,400717.6677,1939731756,400717.6677,IRELAND
86,Ennis,5030L,Clare & Tipperary,1429.541,551.949,YES,2019/11/28 00:00:00+00,74185,27376, ,96,ENNIS,ENNIS,"Abbey Street, Ennis, Co. Clare",,CLARE,https://www.garda.ie/en/Contact-Us/Station-Directory/Ennis.html,133945,177732,533910,677771,-8.98112,52.84681,1,65,6848100,Division HQ,281660.8165,1434920542,281660.8165,IRELAND
87,Loughrea,5300G,Galway,1526.979,589.57,YES,2019/11/28 00:00:00+00,40465,14416, ,288,LOUGHREA,MURROUGH,"Barrack Street, Loughrea, Co. Galway",,GALWAY,https://www.garda.ie/en/Contact-Us/Station-Directory/Loughrea.html,161958,216447,561917,716478,-8.569948,53.197374,1,91,842870,District HQ,361156.6986,1532781106,361156.6986,IRELAND
88,Ballinasloe,5670G,Galway,938.447,362.336,YES,2019/11/28 00:00:00+00,24690,8636, ,263,BALLINASLOE,MURROUGH,"Dunlo St, Ballinasloe, Co. Galway",,GALWAY,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballinasloe.html,185149,230904,585103,730932,-8.223624,53.328431,1,90,9631890,District HQ,268040.5563,942052732.2,268040.5563,IRELAND
89,Roscommon,5600F,Mayo & Roscommon/Longford,875.874,338.177,YES,2019/11/28 00:00:00+00,24122,8654, ,511,ROSCOMMON,CASTLEBAR,"Roscommon Town, Co. Roscommon",,ROSCOMMON,https://www.garda.ie/en/Contact-Us/Station-Directory/Roscommon.html,187242,264445,587196,764466,-8.193576,53.629842,1,90,6638300,District HQ,210177.7983,879243716.8,210177.7983,IRELAND
90,Clonmel,3670F,Clare & Tipperary,523.245,202.026,YES,2019/11/28 00:00:00+00,27197,14488, ,538,CLONMEL,ENNIS,"Emmet Street, Clonmel",,TIPPERARY,https://www.garda.ie/en/Contact-Us/Station-Directory/Clonmel.html,220495,122492,620441,622543,-7.699937,52.354092,1,52,6177640,District HQ,175016.8343,525138758.5,175016.8343,IRELAND
91,Coolock,1530L,DMR North,144.515,55.797,YES,2019/11/28 00:00:00+00,142005,48041, ,230,COOLOCK,BALLYMUN,Oscar Traynor Road,,DUBLIN,https://www.garda.ie/en/Contact-Us/Station-Directory/Coolock.html,319729,239280,719654,739305,-6.201099,53.390335,1,1,6664200,District HQ,111948.5343,142882319.2,111948.5343,IRELAND
92,Blanchardstown,1700M,DMR West,94.509,36.49,YES,2019/11/28 00:00:00+00,174165,58455, ,224,BLANCHARDSTOWN,BLANCHARDSTOWN,"Blanchardstown, D15",,DUBLIN,https://www.garda.ie/en/Contact-Us/Station-Directory/Blanchardstown.html,307764,238947,707692,738972,-6.380975,53.38992,1,1,6667000,Division HQ,53403.9836,93107690.4,53403.9836,IRELAND
93,Ballymun,1502H,DMR North,28.288,10.922,YES,2019/11/28 00:00:00+00,60837,21459, ,222,BALLYMUN,BALLYMUN,"Ballymun Road, D11",,DUBLIN,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballymun.html,315553,239644,715478,739669,-6.26371,53.394531,1,1,6664400,Division HQ,27961.90426,32404852.48,27961.90426,IRELAND
94,Midleton,4200E,Cork North & Cork West,661.812,255.527,YES,2019/11/28 00:00:00+00,67533,23787, ,164,MIDLETON,MACROOM (Temp),"Oliver Plunkett Place, Midleton",,CORK,https://www.garda.ie/en/Contact-Us/Station-Directory/Midleton.html,188110,73791,588063,573853,-8.173526,51.916681,1,21,4621550,District HQ,169292.5624,664118665,169292.5624,IRELAND
95,Letterkenny,206,Donegal/Sligo & Leitrim,982.74,379.438,YES,2019/11/28 00:00:00+00,56995,20692, ,208,LETTERKENNY,LETTERKENNY,"New Line Road, Letterkenny",,DONEGAL,https://www.garda.ie/en/Contact-Us/Station-Directory/Letterkenny.html,216935,411935,616883,911924,-7.736422,54.954697,0,74,9167100,Division HQ,197449.4187,986824434.8,197449.4187,IRELAND
96,Bailieborough,6870E,Cavan/Monaghan & Louth,714.811,275.99,YES,2019/11/28 00:00:00+00,34152,11805, ,76,BAILIEBOROUGH,DROGHEDA,"Barrack Street, Baileboro, Co. Cavan",,CAVAN,https://www.garda.ie/en/Contact-Us/Station-Directory/Bailieboro.html,267755,296683,667691,796696,-6.96963,53.915212,1,42,9694570,District HQ,238368.3264,717693778.9,238368.3264,IRELAND
97,Finglas,,DMR West,,,,,,,,,FINGLAS,DUBLIN,"Mellowes Road,Finglas, D11",,DUBLIN,,,,,,-6.306919,53.389651,,,,District HQ,,,,IRELAND
98,Dundrum,,DMR East,,,,,,,,,DUNDRUM,DUBLIN,"Kilmacud Rd Upper, Dundrum, D14",,DUBLIN,,,,,,-6.242572,53.289544,,,,District HQ,,,,IRELAND
99,Ronanstown,,DMR West,,,,,,,,,RONANSTOWN,DUBLIN,"Saint Ronan's Avenue, Clondalkin, D22",,DUBLIN,,,,,,-6.406023,53.337899,,,,District HQ,,,,IRELAND
100,Swords,,DMR North,,,,,,,,,SWORDS,DUBLIN,"Main Street, Swords, Co.Dublin",,DUBLIN,,,,,,-6.221116,53.456023,,,,,,,,IRELAND
101,Kilmainham,,DMR South,,,,,,,,,KILMAINHAM,DUBLIN,"Kilmainham Lane,D8",,DUBLIN,,,,,,-6.304273,53.341869,,,,,,,,IRELAND
102,Mountjoy,,DMR North,,,,,,,,,MOUNTJOY,DUBLIN,"399 North Circular Road,D7",,DUBLIN,,,,,,-6.266825,53.360484,,,,,,,,IRELAND
103,Rathfarnham,,DMR South,,,,,,,,,RATHFARNHAM,DUBLIN,"Butterfield Avenue, Rathfarnham, D14",,DUBLIN,,,,,,-6.28815,53.297388,,,,,,,,IRELAND
104,Santry,,DMR North,,,,,,,,,SANTRY,DUBLIN,"Shanowen Road,Santry,D9",,DUBLIN,,,,,,-6.251635,53.389728,,,,,,,,IRELAND
105,Ballyfermot,,DMR West,,,,,,,,,BALLYFERMOT,DUBLIN,"Rossmore Avenue,Ballyfermot, D20",,DUBLIN,,,,,,-6.357991,53.34476,,,,,,,,IRELAND
106,Rathmines,,DMR South,,,,,,,,,RATHMINES,DUBLIN,"Rathgar Road,Rathgar,D6",,DUBLIN,,,,,,-6.267004,53.321317,,,,,,,,IRELAND
107,Clontarf,,DMR North,,,,,,,,,CLONTARF,DUBLIN,"Strandville Avenue East, Clontarf, D3",,DUBLIN,,,,,,-6.220152,53.363544,,,,,,,,IRELAND
108,Sundrive Road,,DMR South,,,,,,,,,SUNDRIVE ROAD,DUBLIN,"	Crumlin Road, Crumlin, D12",,DUBLIN,,,,,,-6.298731,53.330191,,,,,,,,IRELAND
109,Irishtown,,DMR South,,,,,,,,,IRISHTOWN,DUBLIN,"Irishtown Road, Irishtown,D4",,DUBLIN,,,,,,-6.22304,53.338063,,,,,,,,IRELAND
110,Cabra,,DMR West,,,,,,,,,CABRA,DUBLIN,"Navan Road, D7",,DUBLIN,,,,,,-6.30764,53.364985,,,,,,,,IRELAND
111,Cabinteely,,DMR East,,,,,,,,,CABINTEELY,DUBLIN,"	Bray Road, Cabinteely, D18",,DUBLIN,,,,,,-6.150651,53.260789,,,,,,,,IRELAND
112,Shankill,,DMR East,,,,,,,,,SHANKILL,DUBLIN,"Dorney Court, Shankill, D18",,DUBLIN,,,,,,-6.121017,53.233524,,,,,,,,IRELAND
113,Malahide,,DMR North,,,,,,,,,MALAHIDE,DUBLIN,"1/2 James's Terrace, Malahide,Co.Dublin",,DUBLIN,,,,,,-6.151959,53.451162,,,,,,,,IRELAND
114,Howth,,DMR North,,,,,,,,,HOWTH,DUBLIN,"8 Dunbo Hill, Howth, Co.Dublin",,DUBLIN,,,,,,-6.069001,53.387287,,,,,,,,IRELAND
115,Rathcoole,,DMR West,,,,,,,,,RATHCOOLE,DUBLIN,"Main Street, Rathcoole, Co Dublin",,DUBLIN,,,,,,-6.464709,53.281792,,,,,,,,IRELAND
116,Lusk,,DMR North,,,,,,,,,LUSK,DUBLIN,"Dublin Road, Lusk, Co Dublin",,DUBLIN,,,,,,-6.167335,53.523431,,,,,,,,IRELAND
117,Dublin Airport,,DMR North,,,,,,,,,DUBLIN AIRPORT,DUBLIN,"Terminal Complex, Dublin airport, Swords, Co Dublin",,DUBLIN,,,,,,-6.24501,53.429782,,,,,,,,IRELAND
118,Skerries,,DMR North,,,,,,,,,SKERRIES,DUBLIN,"	90 Strand Street, Skerries, Co Dublin",,DUBLIN,,,,,,-6.106963,53.579593,,,,,,,,IRELAND
119,Garristown,,DMR North,,,,,,,,,GARRISTOWN,DUBLIN,"Main Street, Garristown, Co Dublin",,DUBLIN,,,,,,-6.383903,53.567052,,,,,,,,IRELAND
