FID,District_N,District_C,Division,Area_Sq_km,Area_Sq_Mi,Revised_YN,Revised_Da,Pop_by_Dis,Housholds_,Comments,FID_1,STATION_NA,DIVISION_H,ADDRESS,,COUNTY,STATION_IN,IG_EAST,IG_NORTH,ITM_EAST,ITM_NORTH,LONGITUDE,LATITUDE,FULL_TIME_,AREA_CODE,PHONE_NUMB,STATION_TY,Shape_Leng,Shape__Area,Shape__Length,COUNTRY
16,Naas,2700F,Kildare & Laois/Offaly,546.483,210.998,YES,2019/11/28 00:00:00+00,73210,23941, ,344,NAAS,PORT LAOISE,"Kilcullen Road, Naas, Co. Kildare",,KILDARE,https://www.garda.ie/en/Contact-Us/Station-Directory/Naas.html,289174,218612,689106,718642,-6.666007,53.210722,1,45,884300,District HQ,167820.1634,548650052.1,167820.1634,IRELAND
17,Kildare,2770G,Kildare & Laois/Offaly,760.472,293.62,YES,2019/11/28 00:00:00+00,76301,25952, ,340,KILDARE,PORT LAOISE,"Dublin Road, Kildare, Co. Kildare",,KILDARE,https://www.garda.ie/en/Contact-Us/Station-Directory/Kildare.html,273149,212253,673084,712284,-6.907264,53.156035,1,45,527730,District HQ,210707.4154,763420530.8,210707.4154,IRELAND
18,Dun Laoghaire,1900C,DMR East,50.164,19.368,YES,2019/11/28 00:00:00+00,96713,34917, ,233,DUN LAOGHAIRE,DUN LAOGHAIRE,34/35 Corrig Avenue,,DUBLIN,https://www.garda.ie/en/Contact-Us/Station-Directory/Dun-Laoghaire.html,324528,228221,724452,728249,-6.133347,53.289915,1,1,6665000,Division HQ,46298.47651,50372667.09,46298.47651,IRELAND
19,Tallaght,1372B,DMR South,126.374,48.793,YES,2019/11/28 00:00:00+00,143263,48548, ,258,TALLAGHT,CRUMLIN,Belgard Walk,,DUBLIN,https://www.garda.ie/en/Contact-Us/Station-Directory/Tallaght.html,308900,227492,708828,727519,-6.367838,53.286801,1,1,6666000,District HQ,66861.73662,126889851.7,66861.73662,IRELAND
20,Crumlin,1300E,DMR South,11.374,4.391,YES,2019/11/28 00:00:00+00,51095,20090, ,231,CRUMLIN,CRUMLIN,23 St. Agnes Road,,DUBLIN,https://www.garda.ie/en/Contact-Us/Station-Directory/Crumlin.html,312337,231220,712263,731246,-6.315017,53.319567,1,1,6666200,Division HQ,15063.09542,11420316.36,15063.09542,IRELAND
21,Terenure,1470B,DMR South,11.13,4.297,YES,2019/11/28 00:00:00+00,53352,21651, ,259,TERENURE,CRUMLIN,Terenure Road West,,DUBLIN,https://www.garda.ie/en/Contact-Us/Station-Directory/Terenure.html,314161,230177,714087,730204,-6.288029,53.309815,1,1,6666400,District HQ,18492.5134,11175415.44,18492.5134,IRELAND
22,Clondalkin,1721C,DMR West,84.707,32.706,YES,2019/11/28 00:00:00+00,76873,26142, ,228,CLONDALKIN,BLANCHARDSTOWN,Orchard Road,,DUBLIN,https://www.garda.ie/en/contact-us/station-directory/clondalkin.html,307001,231495,706929,731522,-6.394958,53.323146,0,1,6667600,District HQ,60803.51977,84313181.6,60803.51977,IRELAND
23,Lucan,1710H,DMR West,36.898,14.246,YES,2019/11/28 00:00:00+00,70933,21588, ,242,LUCAN,BLANCHARDSTOWN,Lucan Village,,DUBLIN,https://www.garda.ie/en/Contact-Us/Station-Directory/Lucan.html,303209,235075,703137,735101,-6.45068,53.356052,1,1,6667300,District HQ,32118.2899,37785682.7,32118.2899,IRELAND
24,Raheny,1570K,DMR North,46.023,17.77,YES,2019/11/28 00:00:00+00,85896,32620, ,247,RAHENY,BALLYMUN,All saints Drive,,DUBLIN,https://www.garda.ie/en/Contact-Us/Station-Directory/Raheny.html,321299,238056,721223,738081,-6.177986,53.378983,1,1,6664300,District HQ,53293.83051,46216275.16,53293.83051,IRELAND
25,Fitzgibbon Street,1830K,DMR North Central,5.775,2.23,YES,2019/11/28 00:00:00+00,47288,18252, ,236,FITZGIBBON STREET,STORE STREET,"24/28 Fitzgibbon Street, Dublin 1",,DUBLIN,https://www.garda.ie/en/Contact-Us/Station-Directory/Fitzgibbon-Street.html,316208,235563,716134,735589,-6.255359,53.357735,1,1,6668400,District HQ,12905.65312,5798493.077,12905.65312,IRELAND
